DIR
aba,-- 
abx,-- 
aby,-- 
adca,99
adcb,D9
adda,9B
addb,DB
addd,D3
anda,94
andb,D4
asl,-- 
asla,-- 
aslb,-- 
asld,-- 
asr,-- 
asra,-- 
asrb,-- 
bcc,-- 
bclr,15
bcs,-- 
beq,-- 
bge,-- 
bgt,-- 
bhi,-- 
bhs,-- 
bita,95
bitb,D5
ble,-- 
blo,-- 
bls,-- 
blt,-- 
bmi,-- 
bne,-- 
bpl,-- 
bra,-- 
brclr,13
brn,-- 
brset,12
bset,14
bsr,-- 
bvc,-- 
bvs,-- 
cba,-- 
clc,-- 
cli,-- 
clr,-- 
clra,-- 
clrb,-- 
clv,-- 
cmpa,91
cmpb,D1
com,-- 
coma,-- 
comb,-- 
cpd,1A 93
cpx,9C
cpy,18 9C
daa,-- 
dec,-- 
deca,-- 
decb,-- 
des,-- 
dex,-- 
dey,-- 
eora,98
eorb,D8
fdiv,-- 
idiv,-- 
inc,-- 
inca,-- 
incb,-- 
ins,-- 
inx,-- 
iny,-- 
jmp,-- 
jsr,9D
ldaa,96
ldab,D6
ldd,DC
lds,9E
ldx,DE
ldy,18 DE
lsl,-- 
lsla,-- 
lslb,-- 
lsld,-- 
lsr,-- 
lsra,-- 
lsrb,-- 
lsrd,-- 
mul,-- 
neg,-- 
nega,-- 
negb,-- 
nop,-- 
oraa,9A
orab,DA
psha,-- 
pshb,-- 
pshx,-- 
pshy,-- 
pula,-- 
pulb,-- 
pulx,-- 
puly,-- 
rol,-- 
rola,-- 
rolb,-- 
ror,-- 
rora,-- 
rorb,-- 
rti,-- 
rts,-- 
sba,-- 
sbca,92
sbcb,D2
sec,-- 
sei,-- 
sev,-- 
staa,97
stab,D7
std,DD
stop,-- 
sts,9F
stx,DF
sty,18 DF
suba,90
subb,D0
subd,93
swi,-- 
tab,-- 
tap,-- 
tba,-- 
tets,-- 
tpa,-- 
tst,-- 
tsta,-- 
tstb,-- 
tsx,-- 
tsy,-- 
txs,-- 
tys,-- 
wai,-- 
xgdx,-- 
xgdy,--
