EXT
aba,--
abx,--
aby,--
adca,B9
adcb,F9
adda,BB
addb,FB
addd,F3
anda,B4
andb,F4
asl,78
asla,--
aslb,--
asld,--
asr,77
asra,--
asrb,--
bcc,--
bclr,--
bcs,--
beq,--
bge,--
bgt,--
bhi,--
bhs,--
bita,B5
bitb,F5
ble,--
blo,--
bls,--
blt,--
bmi,--
bne,--
bpl,--
bra,--
brclr,--
brn,--
brset,--
bset,--
bsr,--
bvc,--
bvs,--
cba,--
clc,--
cli,--
clr,7F
clra,--
clrb,--
clv,--
cmpa,B1
cmpb,F1
com,73
coma,--
comb,--
cpd,1AB3
cpx,BC
cpy,18BC
daa,--
dec,7A
deca,--
decb,--
des,--
dex,--
dey,--
eora,B8
eorb,F8
fdiv,--
idiv,--
inc,7C
inca,--
incb,--
ins,--
inx,--
iny,--
jmp,7E
jsr,BD
ldaa,B6
ldab,F6
ldd,FC
lds,BE
ldx,FE
ldy,18FE
lsl,78
lsla,--
lslb,--
lsld,--
lsr,74
lsra,--
lsrb,--
lsrd,--
mul,--
neg,70
nega,--
negb,--
nop,--
oraa,BA
orab,FA
psha,--
pshb,--
pshx,--
pshy,--
pula,--
pulb,--
pulx,--
puly,--
rol,79
rola,--
rolb,--
ror,76
rora,--
rorb,--
rti,--
rts,--
sba,--
sbca,B2
sbcb,F2
sec,--
sei,--
sev,--
staa,B7
stab,F7
std,FD
stop,--
sts,BF
stx,FF
sty,FF
suba,B0
subb,F0
subd,B3
swi,--
tab,--
tap,--
tba,--
tets,--
tpa,--
tst,7D
tsta,--
tstb,--
tsx,--
tsy,--
txs,--
tys,--
wai,--
xgdx,--
xgdy,--
