IMM
aba,--
abx,--
aby,--
adca,89
adcb,C9
adda,8B
addb,CB
addd,C3
anda,84
andb,C4
asl,--
asla,--
aslb,--
asld,--
asr,--
asra,--
asrb,--
bcc,--
bclr,--
bcs,--
beq,--
bge,--
bgt,--
bhi,--
bhs,--
bita,85
bitb,C5
ble,--
blo,--
bls,--
blt,--
bmi,--
bne,--
bpl,--
bra,--
brclr,--
brn,--
brset,--
bset,--
bsr,--
bvc,--
bvs,--
cba,--
clc,--
cli,--
clr,--
clra,--
clrb,--
clv,--
cmpa,81
cmpb,C1
com,--
coma,--
comb,--
cpd,1A83
cpx,8C
cpy,188C
daa,--
dec,--
deca,--
decb,--
des,--
dex,--
dey,--
eora,88
eorb,C8
fdiv,--
idiv,--
inc,--
inca,--
incb,--
ins,--
inx,--
iny,--
jmp,--
jsr,--
ldaa,86
ldab,C6
ldd,CC
lds,8E
ldx,CE
ldy,18CE
lsl,--
lsla,--
lslb,--
lsld,--
lsr,--
lsra,--
lsrb,--
lsrd,--
mul,--
neg,--
nega,--
negb,--
nop,--
oraa,8A
orab,CA
psha,--
pshb,--
pshx,--
pshy,--
pula,--
pulb,--
pulx,--
puly,--
rol,--
rola,--
rolb,--
ror,--
rora,--
rorb,--
rti,--
rts,--
sba,--
sbca,82
sbcb,C2
sec,--
sei,--
sev,--
staa,--
stab,--
std,--
stop,--
sts,--
stx,--
sty,--
suba,80
subb,C0
subd,83
swi,--
tab,--
tap,--
tba,--
tets,--
tpa,--
tst,--
tsta,--
tstb,--
tsx,--
tsy,--
txs,--
tys,--
wai,--
xgdx,--
xgdy,--
