INDX
aba,-- 
abx,-- 
aby,-- 
adca,A9
adcb,E9
adda,AB
addb,EB
addd,E3
anda,B4
andb,E4
asl,68
asla,-- 
aslb,-- 
asld,-- 
asr,67
asra,-- 
asrb,-- 
bcc,-- 
bclr,1D
bcs,-- 
beq,-- 
bge,-- 
bgt,-- 
bhi,-- 
bhs,-- 
bita,A5
bitb,E5
ble,-- 
blo,-- 
bls,-- 
blt,-- 
bmi,-- 
bne,-- 
bpl,-- 
bra,-- 
brclr,1F
brn,-- 
brset,1E
bset,1C
bsr,-- 
bvc,-- 
bvs,-- 
cba,-- 
clc,-- 
cli,-- 
clr,6F
clra,-- 
clrb,-- 
clv,-- 
cmpa,A1
cmpb,E1
com,63
coma,-- 
comb,-- 
cpd,1A A3
cpx,AC
cpy,1A AC
daa,-- 
dec,6A
deca,-- 
decb,-- 
des,-- 
dex,-- 
dey,-- 
eora,A8
eorb,E8
fdiv,-- 
idiv,-- 
inc,6C
inca,-- 
incb,-- 
ins,-- 
inx,-- 
iny,-- 
jmp,6E
jsr,AD
ldaa,A6
ldab,E6
ldd,EC
lds,AE
ldx,EE
ldy,1A EE
lsl,68
lsla,-- 
lslb,-- 
lsld,-- 
lsr,64
lsra,-- 
lsrb,-- 
lsrd,-- 
mul,-- 
neg,60
nega,-- 
negb,-- 
nop,-- 
oraa,AA
orab,EA
psha,-- 
pshb,-- 
pshx,-- 
pshy,-- 
pula,-- 
pulb,-- 
pulx,-- 
puly,-- 
rol,69
rola,-- 
rolb,-- 
ror,66
rora,-- 
rorb,-- 
rti,-- 
rts,-- 
sba,-- 
sbca,A2
sbcb,E2
sec,-- 
sei,-- 
sev,-- 
staa,A7
stab,E7
std,ED
stop,-- 
sts,AF
stx,EF
sty,1A EF
suba,A0
subb,E0
subd,A3
swi,-- 
tab,-- 
tap,-- 
tba,-- 
tets,-- 
tpa,-- 
tst,6D
tsta,-- 
tstb,-- 
tsx,-- 
tsy,-- 
txs,-- 
tys,-- 
wai,-- 
xgdx,-- 
xgdy,-- 
