INDY
aba,--
abx,--
aby,--
adca,18A9
adcb,18E9
adda,18AB
addb,18EB
addd,18E3
anda,18A4
andb,18E4
asl,1868
asla,--
aslb,--
asld,--
asr,1867
asra,--
asrb,--
bcc,--
bclr,181D
bcs,--
beq,--
bge,--
bgt,--
bhi,--
bhs,--
bita,18A5
bitb,18E5
ble,--
blo,--
bls,--
blt,--
bmi,--
bne,--
bpl,--
bra,--
brclr,181F
brn,--
brset,181E
bset,181C
bsr,--
bvc,--
bvs,--
cba,--
clc,--
cli,--
clr,186F
clra,--
clrb,--
clv,--
cmpa,18A1
cmpb,18E1
com,1863
coma,--
comb,--
cpd,CDA3
cpx,CDAC
cpy,18AC
daa,--
dec,186A
deca,--
decb,--
des,--
dex,--
dey,--
eora,18A8
eorb,18E8
fdiv,--
idiv,--
inc,186C
inca,--
incb,--
ins,--
inx,--
iny,--
jmp,186E
jsr,18AD
ldaa,18A6
ldab,18E6
ldd,18EC
lds,18AE
ldx,CDEE
ldy,18EE
lsl,1868
lsla,--
lslb,--
lsld,--
lsr,1864
lsra,--
lsrb,--
lsrd,--
mul,--
neg,1860
nega,--
negb,--
nop,--
oraa,18AA
orab,18EA
psha,--
pshb,--
pshx,--
pshy,--
pula,--
pulb,--
pulx,--
puly,--
rol,1869
rola,--
rolb,--
ror,1866
rora,--
rorb,--
rti,--
rts,--
sba,--
sbca,18A2
sbcb,18E2
sec,--
sei,--
sev,--
staa,18A7
stab,18E7
std,18ED
stop,--
sts,18AF
stx,CDEF
sty,18EF
suba,18A0
subb,18E0
subd,18A3
swi,--
tab,--
tap,--
tba,--
tets,--
tpa,--
tst,186D
tsta,--
tstb,--
tsx,--
tsy,--
txs,--
tys,--
wai,--
xgdx,--
xgdy,--
