INH
aba,1B
abx,3A
aby,183A
adca,--
adcb,--
adda,--
addb,--
addd,--
anda,--
andb,--
asl,--
asla,48
aslb,58
asld,5
asr,--
asra,47
asrb,57
bcc,--
bclr,--
bcs,--
beq,--
bge,--
bgt,--
bhi,--
bhs,--
bita,--
bitb,--
ble,--
blo,--
bls,--
blt,--
bmi,--
bne,--
bpl,--
bra,--
brclr,--
brn,--
brset,--
bset,--
bsr,--
bvc,--
bvs,--
cba,11
clc,0C
cli,0E
clr,--
clra,4F
clrb,5F
clv,0A
cmpa,--
cmpb,--
com,--
coma,43
comb,53
cpd,--
cpx,--
cpy,--
daa,19
dec,--
deca,4A
decb,5A
des,34
dex,09
dey,1809
eora,--
eorb,--
fdiv,03
idiv,02
inc,--
inca,4C
incb,5C
ins,31
inx,08
iny,1808
jmp,--
jsr,--
ldaa,--
ldab,--
ldd,--
lds,--
ldx,--
ldy,--
lsl,--
lsla,48
lslb,58
lsld,05
lsr,--
lsra,44
lsrb,54
lsrd,04
mul,3D
neg,--
nega,40
negb,50
nop,01
oraa,--
orab,--
psha,36
pshb,37
pshx,3C
pshy,183C
pula,32
pulb,33
pulx,38
puly,1838
rol,--
rola,49
rolb,59
ror,--
rora,46
rorb,56
rti,3B
rts,39
sba,10
sbca,--
sbcb,--
sec,OD
sei,OF
sev,OB
staa,--
stab,--
std,--
stop,CF
sts,--
stx,--
sty,--
suba,--
subb,--
subd,--
swi,3F
tab,16
tap,06
tba,17
tets,00
tpa,07
tst,--
tsta,4D
tstb,5D
tsx,30
tsy,1830
txs,35
tys,1835
wai,3E
xgdx,8F
xgdy,188F
