REL
aba,--
abx,--
aby,--
adca,--
adcb,--
adda,--
addb,--
addd,--
anda,--
andb,--
asl,--
asla,--
aslb,--
asld,--
asr,--
asra,--
asrb,--
bcc,24
bclr,--
bcs,25
beq,27
bge,2C
bgt,2E
bhi,22
bhs,24
bita,--
bitb,--
ble,2F
blo,25
bls,23
blt,2D
bmi,2B
bne,26
bpl,2A
bra,20
brclr,--
brn,21
brset,--
bset,--
bsr,8D
bvc,28
bvs,29
cba,--
clc,--
cli,--
clr,--
clra,--
clrb,--
clv,--
cmpa,--
cmpb,--
com,--
coma,--
comb,--
cpd,--
cpx,--
cpy,--
daa,--
dec,--
deca,--
decb,--
des,--
dex,--
dey,--
eora,--
eorb,--
fdiv,--
idiv,--
inc,--
inca,--
incb,
ins,--
inx,--
iny,--
jmp,--
jsr,--
ldaa,--
ldab,--
ldd,--
lds,--
ldx,--
ldy,--
lsl,--
lsla,--
lslb,--
lsld,--
lsr,--
lsra,--
lsrb,--
lsrd,--
mul,--
neg,--
nega,--
negb,--
nop,--
oraa,--
orab,--
psha,--
pshb,--
pshx,--
pshy,--
pula,--
pulb,--
pulx,--
puly,--
rol,--
rola,--
rolb,--
ror,--
rora,--
rorb,--
rti,--
rts,--
sba,--
sbca,--
sbcb,--
sec,--
sei,--
sev,--
staa,--
stab,--
std,--
stop,--
sts,--
stx,--
sty,--
suba,--
subb,--
subd,--
swi,--
tab,--
tap,--
tba,--
tets,--
tpa,--
tst,--
tsta,--
tstb,--
tsx,--
tsy,--
txs,--
tys,--
wai,--
xgdx,--
xgdy,--
